date,cases_new,cases_import,cases_recovered,cases_active,cases_cluster,cases_pvax,cases_fvax,cases_child,cases_adolescent,cases_adult,cases_elderly,cluster_import,cluster_religious,cluster_community,cluster_highRisk,cluster_education,cluster_detentionCentre,cluster_workplace,cumul_partial,cumul_full
30/1/2021,5728,5,3805,47243,1741,-1,1,340,197,4442,371,0,11,154,9,0,132,1337,0,0
31/1/2021,5298,3,4522,48001,1678,-1,1,394,196,4169,339,0,8,97,82,0,97,1349,0,0
1/2/2021,4214,9,4280,47920,1267,0,0,246,129,3197,262,0,12,89,55,0,116,917,0,0
2/2/2021,3455,5,3661,47700,1345,0,0,215,107,2370,208,0,16,62,9,0,77,1089,0,0
3/2/2021,4284,6,3804,48160,1792,0,0,220,149,3603,186,0,5,127,14,0,122,1465,0,0
4/2/2021,4571,3,4092,48617,1793,0,0,288,155,3498,276,0,11,149,14,0,237,1268,0,0
5/2/2021,3391,4,3392,48608,1108,0,0,246,109,2596,224,0,6,88,39,0,145,762,0,0
6/2/2021,3847,4,1692,50747,1486,0,0,254,122,2854,251,0,6,120,15,0,133,1020,0,0
7/2/2021,3731,8,3369,51097,1604,0,0,196,109,2814,192,0,2,138,11,0,43,1164,0,0
8/2/2021,3100,1,2340,51834,1547,0,0,166,87,2630,166,0,1,26,14,0,29,1426,0,0
9/2/2021,2764,6,3887,50698,935,0,0,205,111,2166,165,0,1,22,10,0,51,789,0,0
10/2/2021,3288,5,1929,52046,1500,0,0,190,120,2282,173,0,0,43,23,0,63,1309,0,0
11/2/2021,3384,15,3774,51643,1631,0,0,210,110,2669,186,0,0,94,28,0,93,1388,0,0
12/2/2021,3318,7,3505,51450,1716,0,0,158,82,2783,153,0,0,36,11,0,37,1459,0,0
13/2/2021,3499,1,3515,51419,1611,0,0,179,114,2622,125,0,0,91,16,0,70,1365,0,0
14/2/2021,2464,3,4525,49349,857,0,0,160,130,1897,179,0,11,79,3,0,54,627,0,0
15/2/2021,2176,1,4521,46990,689,0,0,178,103,1680,164,0,0,45,9,0,64,497,0,0
16/2/2021,2720,0,5718,43980,1581,0,0,182,85,2004,158,0,0,85,11,0,57,1372,0,0
17/2/2021,2998,7,5709,41262,1589,0,0,142,86,2376,155,0,0,83,63,0,103,1302,0,0
18/2/2021,2712,4,5320,38647,1303,0,0,138,73,2121,189,0,40,35,39,0,43,1118,0,0
19/2/2021,2936,9,4889,36685,1435,0,0,181,105,2415,127,0,5,37,11,0,112,1230,0,0
20/2/2021,2461,0,4782,34356,1173,0,0,178,87,1860,107,0,20,61,3,0,298,743,0,0
21/2/2021,3297,6,4456,33192,2082,0,0,153,89,2867,122,0,7,38,8,0,124,1870,0,0
22/2/2021,2192,3,3414,31960,1084,0,0,164,84,1792,104,0,1,88,7,0,110,824,0,0
23/2/2021,2468,4,4055,30363,1113,0,0,145,72,1934,123,0,0,74,3,0,175,805,0,0
24/2/2021,3545,1,3331,30572,2483,0,0,145,84,2919,173,0,0,70,19,0,29,2338,60,0
25/2/2021,1924,6,3752,28738,705,0,0,158,72,1473,155,0,1,76,26,0,105,442,1206,0
26/2/2021,2253,7,3085,27903,1136,0,0,124,75,1822,173,0,11,140,27,0,95,863,5321,1
27/2/2021,2364,1,3320,26937,1100,0,0,147,100,1858,162,0,4,157,6,0,52,801,12044,2
28/2/2021,2437,1,3251,26118,1404,0,0,132,83,2044,113,0,0,114,9,0,85,1131,18743,5
1/3/2021,1828,7,2486,25456,962,0,0,131,55,1441,102,0,0,56,4,0,113,737,34115,9
2/3/2021,1555,3,2528,24474,604,0,0,113,55,1207,127,0,1,56,4,0,113,737,55780,12
3/3/2021,1745,2,2276,23939,867,1,0,112,59,1444,71,0,0,42,3,0,47,665,78468,17
4/3/2021,2063,9,2922,23077,897,1,0,163,87,1566,131,0,0,105,15,0,99,645,98014,30
5/3/2021,2154,5,3275,21948,1021,3,0,194,171,1215,118,0,6,65,1,0,81,813,112342,34
6/3/2021,1680,3,2548,21076,650,2,0,186,83,1142,129,0,0,64,15,0,54,428,128119,35
7/3/2021,1683,10,2506,20248,649,2,0,125,91,1236,111,0,1,60,1,0,61,454,140655,37
8/3/2021,1529,9,2076,19695,361,7,0,149,84,1154,110,0,6,34,1,0,34,232,167771,49
9/3/2021,1280,2,2345,18622,530,3,0,114,46,1027,77,0,0,97,13,0,5,357,197745,59
10/3/2021,1448,10,2137,17926,765,2,0,131,57,1163,82,8,0,87,2,0,15,587,226464,61
11/3/2021,1647,5,2104,17465,664,19,0,108,53,1302,111,0,2,88,4,0,116,399,252939,61
12/3/2021,1575,7,2042,16995,444,5,0,153,82,1118,133,0,0,53,3,0,69,244,278981,62
13/3/2021,1470,12,1830,16632,518,17,0,132,60,1055,123,0,0,53,0,0,89,270,295818,62
14/3/2021,1354,14,1782,16200,431,12,1,135,71,1004,102,0,0,48,0,0,64,209,305892,62
15/3/2021,1208,9,1973,15431,430,15,1,127,80,887,76,0,1,59,1,0,6,238,326176,63
16/3/2021,1063,4,1365,15126,426,13,0,141,56,764,91,0,1,76,0,0,8,247,351630,67
17/3/2021,1219,7,1346,14997,607,14,0,103,56,783,80,4,1,88,0,0,39,377,372417,127
18/3/2021,1213,6,1503,14706,488,13,0,132,69,864,87,0,0,49,2,0,142,195,389722,921
19/3/2021,1576,11,1996,14285,944,15,0,143,61,1238,96,0,0,80,0,0,298,454,400445,4721
20/3/2021,1671,2,1585,14366,744,21,0,144,68,1334,107,0,0,53,3,0,236,326,408155,10783
21/3/2021,1327,11,1247,14441,632,15,0,116,58,1047,82,3,0,67,0,14,0,343,417858,16575
22/3/2021,1116,8,1495,14060,597,6,0,99,48,899,57,0,0,19,1,10,111,361,427574,31112
23/3/2021,1384,9,1058,14384,762,20,0,119,55,1095,96,2,0,35,0,8,37,592,435877,51949
24/3/2021,1268,5,1083,14565,614,18,0,129,66,983,74,0,0,34,22,7,41,385,442171,74716
25/3/2021,1360,1,1491,14432,591,19,0,171,59,994,118,0,0,110,1,16,62,207,448605,94036
26/3/2021,1275,32,1509,14197,509,11,0,155,71,921,93,0,0,47,0,31,22,300,452545,106794
27/3/2021,1199,5,1257,14131,494,12,0,192,100,794,77,0,0,117,6,32,8,243,454244,121128
28/3/2021,1302,9,1127,14303,650,12,0,134,74,983,100,0,0,28,0,22,283,223,457911,133985
29/3/2021,941,8,1097,14143,345,12,0,95,54,708,73,0,0,26,0,21,63,155,465666,161266
30/3/2021,1133,8,1148,14122,550,15,0,122,71,859,70,0,0,41,1,28,87,213,477123,190589
31/3/2021,1482,2,1070,14525,849,20,0,150,80,1162,82,0,0,47,7,62,39,540,486942,218030
